lat,lon,zoom,title,content,image,attribution,alt_text
51.3536,-1.5378,12,Assize of Clarendon - Clarendon (Wiltshire) 1166,Legal reform establishing royal justice and jury presentment. (Glanvill; Roger of Howden),6Henry_II_second_seal_-_combined.jpg,"Original, 12th century anonymous engraver; photograph Llyfrgell Genedlaethol Cymru / The National Library of Wales from Wales/Cymru, CC0, via Wikimedia Commons",
51.2798,1.0803,12,Murder of Thomas Becket - Canterbury Cathedral 1170,Becket murdered by knights loyal to Henry II. (Edward Grim),12English_-_Carrow_Psalter_-_Walters_W34_-_Reverse_Detail.jpg,"Walters Art Museum, Public domain, via Wikimedia Commons",
51.4994,-0.1275,12,Coronation of the Young King Henry - Westminster Abbey (London) 1170,"Henry II crowns his eldest son as junior king of England (associating him in rule but without real power, leading to later tensions). (Roger of Howden; Ralph de Diceto)","13Coronation_of_Henry_the_Young_King_-_Becket_Leaves_(c.1220-1240),_f._3r_-_BL_Loan_MS_88-2.jpg","See page for author, Public domain, via Wikimedia Commons",
52.2593,-7.1101,12,Invasion of Ireland (initial phase) - Waterford/Dublin (Ireland) 1171,"Henry II lands in Ireland, receives submissions from Irish kings, establishes lordship over parts, and grants fiefs to Anglo-Normans; marks expansion of Angevin influence from England. (Gerald of Wales; Roger of Howden)",14Ireland_1173.jpg,"Topography_Ireland.jpg: Credit: Elevation data used in this image were acquired by the Shuttle Radar Topography Mission aboard the Space Shuttle Endeavour, launched on Feb. 11, 2000. SRTM used the same radar instrument that comprised the Spaceborne Imaging Radar-C/X-Band Synthetic Aperture Radar (SIR-C/X-SAR) that flew twice on the Space Shuttle Endeavour in 1994. SRTM was designed to collect 3-D measurements of the Earth's surface. To collect the 3-D data, engineers added a 60-meter (approximately 200-foot) mast, installed additional C-band and X-band antennas, and improved tracking and navigation devices. The mission is a cooperative project between NASA, the National Geospatial-Intelligence Agency (NGA) of the U.S. Department of Defense and the German and Italian space agencies. It is managed by NASA's Jet Propulsion Laboratory, Pasadena, Calif., for NASA's Earth Science Enterprise, Washington, D.C.derivative work: Hchc2009, Public domain, via Wikimedia Commons",
48.686,1.353,12,Compromise of Avranches -  Avranches Cathedral in 1172,"Henry II was absolved from Becket’s death and pledged troops to the Crusade at the Compromise of Avranches in 1172. (Jones, 74)",Historical_image_of_Avranches_and_church_Notre-Dame_des_Champs.jpg,"Tangopaso, Public domain, via Wikimedia Commons",City of Avaranches and its Cathedral
54,-2,12,Great Revolt of 1173–1174 - England & Normandy 1173,Rebellion by Henry's sons and barons; northern castles play key role. (Roger of Howden),17Great_Revolt_Normandy_1173.png,"Normandy_campaign_1204.png: *France_map_Lambert-93_topographic-blank.svg: Eric Gaba (Sting - fr:Sting)derivative work: Hchc2009 (talk)derivative work: Hchc2009, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",
45.8353,1.2625,12,"Young John Receives Castles from Henry II - Limoges, France on February 25, 1173","In Limoges, France on February 25, 1173, King Henry II granted his 5-year-old son John the castles of Chinon, Loudun, and Mirebeau.",60Chinon_-_Château_vu_depuis_la_plage.jpg,"Benjamin Smith, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",
47.1678,0.2436,12,Young Henry Flees Chinon to Rebel - Chinon at Christmas 1173,"In Chinon at Christmas 1173, Young Henry secretly fled at night with his brothers and knights to rebel against Henry II.",61Henry_the_Young-Plantagenet.jpg,"See page for author, Public domain, via Wikimedia Commons",
46.582778,0.3425,12,Revolt of Henry the Young King - Poitiers 1173,"Henry the Young King rebelled against Henry II, joining Louis VII of France; Eleanor and her sons Richard and Geoffrey also joined the revolt in Poitiers. (Jones, 77)",media/Poitiers_Palais_de_justice.jpg,"Remi Jouan, CC BY-SA 3.0 <http://creativecommons.org/licenses/by-sa/3.0/>, via Wikimedia Commons",Palace of Poitiers
47.168056,0.236111,12,Eleanor Captured in Disguise - Chinon Palace 1173,Eleanor was captured crossing France disguised as a man and imprisoned in Chinon Palace.,media/Château_de_Chinon_vu_de_la_Vienne.jpg,"By Franck Badaire - Fonds documentaire du Conseil Général d'Indre-et-Loire, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=14521344",Chateau de Chinon
49.442778,1.088611,12,Failed Rebel Attack on Vexin -  Vexin in the summer of 1173,Rebels attacked Vexin in the summer of 1173 without success.,media/Paysage_Vexin_France_2.jpg,"Siine.eu, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",adow and woods in the vexin
49.9592,3.0106,12,Rebels Take Driencourt - Driencourt in June and July of 1173,The rebels successfully seized Driencourt in June and July of 1173.,media/Driencourt_Cassini.jpg,"Cassini, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",
49.7714,1.7531,12,Rebels Capture Aumale - Aumale in June and July of 1173,The rebels successfully seized Aumale in June and July of 1173.,media/Siège_d’Aumale_(1196).jpg,"Unknown 14th-c. French artist, Public domain, via Wikimedia Commons",
48.7394,0.9286,12,Henry II Lifts Siege of Verneuil - Verneuil July of 1173,Henry II successfully lifts the siege of Verneuil and slaughters the rebel rear guard in July of 1173.,media/5809315742_b8125e98ed_z.jpg,"Unknown, Public domain, via Wikimedia Commons",Siege of Verneiul
55.64162,-2.28196,12,Scots Attack Wark -  Wark in June,Scots allied to the rebels attacked Wark in June.,media/The_keep_at_Wark_Castle_-_geograph.org.uk_-_271091.jpg,"By Walter Baxter, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=12300689",Wark Castle Keep
55.2,-2,12,Scottish Raids and Devastation of Northumberland - Northumberland 1173,"William the Lion of Scotland invades during Great Revolt, ravages coastal plains, besieges castles (e.g., Wark, Prudhoe), promises Northumberland to rebels; widespread destruction and looting in border areas. (Jordan Fantosme's Chronicle; Roger of Howden)","15William_I,_King_of_Scots_(seal_01).png","The photo is not credited., Public domain, via Wikimedia Commons",
54.951,-1.851,12,Siege of Prudhoe Castle (first attempt) - Prudhoe (Northumberland) 1173,"Scottish forces under William the Lion besiege Prudhoe; castle holds under Odinel II de Umfraville (loyal to Henry II), frustrating Scottish claims to Northumberland. (Jordan Fantosme; English Heritage sources)",16Prudhoe_Castle_2.jpg,"Chris Tweedy / Prudhoe Castle, Prudhoe, Northumberland",
54.978,-1.6102,12,Scottish Raids near Newcastle - Newcastle-upon-Tyne during June of 1173,Scots pillaged the countryside around Newcastle-upon-Tyne during June of 1173.,media/IMG_20250421_203036781_HDR.jpg,Jared S. Ogle,New Castle Keep
52.2767,0.6915,12,Battle of Fornham - Fornham near Bury St. Edmunds,"At Fornham near Bury St. Edmunds, loyalist forces defeated the rebels; many drowned in the fenland bogs.",media/Riverlark_3766.jpg,"By Bogbumper - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=6426325",Soldiers were caught at River Lark
54.961,-1.849,12,Defense of Prudhoe Castle - Prudhoe Castle in 1173,"William’s forces attacked Prudhoe Castle in 1173, but the Umfraville family successfully defended it. Prudhoe remained the only Northumbrian castle never to fall to the Scots.",media/20250422_111814.jpg,By Jared S. Ogle,Prudhoe Castle across Lake.
54.89726,-2.941936,12,Siege of Carlisle Castle - Carlisle Castle from 1173-1174,"William the Lion besieged Carlisle Castle from 1173-1174, another important fortress near the Scottish border, but he was unable to capture it. The failure to take Carlisle weakened his campaign and maintained English control over a critical border stronghold.","media/The_Keep,_Carlisle_Castle_-_geograph.org.uk_-_1087564.jpg","Bill Henderson / The Keep, Carlisle Castle",Carlisle Castle Keep
49.7714,1.7531,12,Young Henry Seizes Aumale Castle - Aumale Castle in June 1174,"At Aumale Castle in June 1174, Young Henry invaded Normandy and seized the fortress.","62Scarborough_Castle_keep,_2007.jpg","Stephen Montgomery from Kallangur, Australia, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons",
49.73,1.44,12,"Neufchâtel-en-Bray Captured, Flemish Support Lost - Neufchâtel-en-Bray in June 1174","At Neufchâtel-en-Bray in June 1174, Young Henry captured the castle but lost Flemish support when a commander was killed.",63Neufchatel_church.jpg,"Dickeybird, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",
49.6711,-1.2633,12,"Henry II Departs from Barfleur - Barfleur on July 7, 1174","At Barfleur on July 7, 1174, Henry II set sail while Young Henry waited for favorable winds.",64Le_port_de_Barfleur.jpg,"JackyM59, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",
50.9025,-1.404167,12,"Henry II Lands at Southampton -  Southampton on July 9, 1174,","At Southampton on July 9, 1174, Henry II landed in England.",65Southampton_-_mur_medieval_02.JPG,"Christophe.Finot, CC BY-SA 2.5 <https://creativecommons.org/licenses/by-sa/2.5>, via Wikimedia Commons",
51.2797,1.0831,12,"Henry II Performs Penance at Canterbury - Canterbury Cathedral on July 12, 1174","At Canterbury Cathedral on July 12, 1174, Henry II visited Becket's shrine and submitted to a public flogging for atonement.",66Canterbury-cathedral-wyrdlight.jpg,"Antony McCallum: Who is the uploader, photographer, full copyright owner and proprietor of WyrdLight.com, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",
55.4158,-1.7062,12,Battle of Alnwick - Alnwick Castle on 13 July 1174,William the Lion was captured near Alnwick Castle on 13 July 1174 by English forces under Ranulf de Glanvill. His capture ended the Scottish invasion and forced William to negotiate with Henry II.,media/20250423_132710.jpg,Jared S. Ogle / Alnwick Castle,Alnwick Castle
48.8986,-0.1981,12,Treaty of Falaise - Falaise (Normandy) 1174,Scotland becomes feudal subordinate to England. (Roger of Howden),18Henry_II_of_England_-_Illustration_from_Cassell's_History_of_England_-_Century_Edition_-_published_circa_1902.jpg,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 70 years or fewer.,
51.2798,1.0803,12,Penance of Henry II - Canterbury 1174,Henry performs public penance to restore royal legitimacy. (Roger of Howden),"19Coronation_of_Henry_the_Young_King_-_Becket_Leaves_(c.1220-1240),_f._3r_-_BL_Loan_MS_88.jpg","Matthew Paris, Public domain, via Wikimedia Commons",
55.4158,-1.7062,12,Scottish Ravaging near Alnwick / Encampment - Alnwick area (Northumberland) 1174,"William the Lion ravages Northumberland plains, encamps near Alnwick with small force before capture; exemplifies border raiding and devastation during rebellion. (Jordan Fantosme's Chronicle)",20J.M.W._Turner_-_Alnwick_Castle_-_Google_Art_Project.jpg,"J. M. W. Turner, Public domain, via Wikimedia Commons",
55.4158,-1.7062,12,"Battle of Alnwick / Capture of William the Lion - Alnwick (Northumberland, England) 1174",Decisive royal victory; Scottish king ambushed and captured near Alnwick during reconnaissance amid ravaging of Northumberland; turns tide of Great Revolt and ends Scottish threat for now. (Roger of Howden; Jordan Fantosme),21Canaletto_Alnwick.jpg,"Canaletto, Public domain, via Wikimedia Commons",
54.951,-1.851,12,Siege of Prudhoe Castle (second attempt) - Prudhoe (Northumberland) 1174,"William the Lion returns with reinforcements to besiege Prudhoe again; Odinel II holds out (only Northumberland castle not to fall to Scots), forcing William to withdraw before his capture at Alnwick. (Jordan Fantosme; English Heritage; Britain Express)",22Prudhoe-castle.jpg,"[Knight, Charles: «Old England: A Pictorial Museum»], Public domain, via Wikimedia Commons",
48.8986,-0.1981,12,Treaty of Falaise - Falaise (Normandy) 1174,Scotland becomes feudal subordinate to England. (Roger of Howden),23Map_of_the_Kingdom_of_Northumbria_around_700_AD.svg.png,"Hogweard, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",
51.4791,-0.5939,12,Treaty of Windsor - Windsor (England) 1175,"Henry II recognizes Ruaidrí Ua Conchobair as High King of Ireland in exchange for homage, formalizing Irish arrangements post-invasion. (Roger of Howden)",24Www.wesleyjohnston.com-users-ireland-maps-historical-map1014-es.svg.png,"Www.wesleyjohnston.com-users-ireland-maps-historical-map1014.gif: Electionworld (talk · contribs)IrelandVIII-FirstThirdIX-es.svg: rowanwindwhistler (talk · contribs)derivative work: rowanwindwhistler, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",
52,-1,12,Expansion of Royal Forest Law - England 1175,"Forest law expanded, deeply affecting northern communities. (Assize Rolls)",25_500px-Royal.Forests.1327.1336.annotated.jpg,"my work, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",
52.2405,-0.9027,12,Assize of Northampton / General Eyre - Northampton (England) 1176,"Follow-up to Clarendon; expands travelling justices, introduces assizes (e.g., mort d'ancestor), strengthens royal justice across counties. (Assize Rolls; Glanvill)",26BL_MS_Royal_14_C_VII_f.9_(Henry_II).jpg,"Matthew paris (Historia Anglorum), Public domain, via Wikimedia Commons",
55.4158,-1.7062,12,Emergence of de Vescy / Percy Precursors in Northumberland - Alnwick/Topcliffe (Northumberland/Yorks border) 1180,"Joscelin of Louvain (via marriage to Agnes de Percy) settles in Northumberland; early Percy lineage roots here, with Alnwick granted later; foreshadows powerful Northumbrian baronial families under Angevin rule. (Percy family histories; Pipe Rolls)",27Vesci_arms_(ancient).svg.png,"Wikimandia, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",
48.1173,-1.6778,12,Marriage of Geoffrey and Constance of Brittany - Rennes (Brittany) 1181,"Geoffrey (Henry II's son) marries Constance, securing Brittany as Angevin holding. (Roger of Howden)",28_500px-Portrait_of_Mrs_Siddons_as_Constance_in_King_John_(4673471).jpg,"National Library of Wales, Public domain, via Wikimedia Commons",
51.512222,-0.163333,12,Accusation of Affair Against Marshal - Fall 1182,"At an unknown location in fall 1182, five knights accused William Marshal of an affair with Queen Margaret.",84Margaret_of_France_(1197).jpg,"See page for author, Public domain, via Wikimedia Commons",
44.8003,1.6186,12,Young Henry Sacks Rocamadour Shrine - Rocamadour in mid-1183,"At Rocamadour in mid-1183, Young Henry sacked the shrine for funds.",92ViergeNoire.jpg,unknown,
43.733889,3.368889,12,Young Henry Pillages Grandmont Priory - Grandmont Priory in mid-1184,"At Grandmont Priory in mid-1184, Young Henry looted the monastery.",93_960px-Prieuré_de_Grandmont.jpg," Daniel VILLAFRUELA, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",
45,0.666667,12,"Death of Young Henry at Martel - Martel, France on June 11, 1183","At Martel, France on June 11, 1183, Young Henry died of dysentery.",94Vue_de_Martel_par_le_Sud_Est.JPG,"Pierre-Yves Redon (Pikendorf), Public domain, via Wikimedia Commons",
36.2,37.16,12,Saladin Captures Aleppo - Aleppo in June 1183,"At Aleppo in June 1183, Saladin seized the city.",102_500px-Saladin_the_Victorious.jpg,"Gustave Doré, Public domain, via Wikimedia Commons",
51.483333,-0.604167,12,Eleanor visit Windsor -  Christmas 1184,Eleanor's detainment loosens. She attend Christmas court at Windsor for Christmas 1184.,103Windsor_Castle_Upper_Ward_Quadrangle_Corrected_2-_Nov_2006.jpg,unknown,
48.8567,2.3522,12,"Geoffrey Plantagenant falls from Horse and is trampled in tournament. - Paris August 19, 1186 ","Geoffrey Plantagenant falls from Horse and is trampled in tournament August 19, 1186 dying in Paris.",105Geoffrey_II_of_Brittany.jpg,"AnonymousUnknown author, Public domain, via Wikimedia Commons",
47.2181,-1.5528,12,Geoffrey's son Arthur of Brittany is Born - 29 March 1187 in Nantes,Geoffrey's son Arthur of Brittany is Born 29 March 1187 in Nantes.,106Prince_Arthur_and_Hubert_de_Burgh.jpg,"William Frederick Yeames, Public domain, via Wikimedia Commons",
31.778889,35.225556,12,Christian Kingdom of Jerusalem in Decline - Jerusalem between 1185 and 1187,"In Jerusalem between 1185 and 1187, the Christian Middle East teetered on the edge of collapse.",107Jerusalem_Church_of_all_nations_BW_7.jpg,"Berthold Werner, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",
32.8,35.459444,12,Salidin defeats Guy Lusignan at the Hotns of Hattin - Horns of Hattin on 4 July 1187,"Salidin defeats King of Jerusalem, Guy Lusignan, at the Horns of Hattin on 4 July 1187",112_250px-L'armée_de_Saladin.jpg,"anonymous, Public domain, via Wikimedia Commons",
33.270833,35.196111,12,Siege of Tyre - Tyre late 1187,"In late 1187, following the fall of Jerusalem, Saladin attempted to seize the coastal stronghold of Tyre. Newly arrived crusader Conrad of Montferrat organized a brilliant defense, repelling both land and naval assaults. Tyre’s survival preserved a vital Christian foothold in the Levant and served as the launch point for the Third Crusade.",media/Tyre_1187.jpg,"By Jean Colombe - Sébastien Mamerot, Les Passages d’Outremer, BnF Fr. 5594, fol.423, Public Domain, https://commons.wikimedia.org/w/index.php?curid=10302776",Seige of Tyre
31.776667,35.234167,12,"Fall of Jerusalem - Jerusalem October 2, 1187","On October 2, 1187, Jerusalem fell to Saladin after the decisive Muslim victory at the Battle of Hattin, prompting Pope Gregory VIII to call for the Third Crusade.","media/BNF,_Mss_fr_68,_folio_404.jpg","By fifteenth-century manuscript illuminator - William of Tyre, Historia and continuation (BNF Richelieu French manuscripts 68, folio 404), Public Domain, https://commons.wikimedia.org/w/index.php?curid=4068925",Seige of Jerusalem
47.1678,0.2436,12,Henry II Dies Soon After Hearing of His Beloved John's Betrayal - 6 July 1189 in Chinon,"Henry II after receiving the list of betrayers demanded at the final armistice meeting, Henry II is told John as the first name on the list, he wants to hear no more, dies, and has blood explode from his eyes and nose on 6 July 1189 in Chinon.",133Aleanor_of_Aqutaine_and_Henri_II.jpg,"See page for author, Public domain, via Wikimedia Commons",
51.4994,-0.1275,12,Coronation of Richard I - Westminster Abbey 1189,Richard I crowned King of England. (Roger of Howden),"30Richard_Löwenhez,_Salbung_zum_König.jpg","Matthew Paris, Public domain, via Wikimedia Commons",
51.28,1.08,12,Quit claim of Canterbury - Canterbury 1189,"Richard I nullified the Treaty of Falaise at Canterbury in exchange of 10,000 Marks in 1189.",media/Falaise_chateau_guillaume_conquerant_2.jpg,"By Ollamh - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=4274360",Chateau of Falaise
34.7071,33.0226,12,Marriage of Richard I and Berengaria of Navarre - Limassol (Cyprus) 1191,"Richard marries Berengaria en route to Third Crusade (arranged by Eleanor); no heirs, but diplomatic tie. (Itinerarium Peregrinorum; Ambroise)","31Charles_Allston_Collins_-_Berengaria's_Alarm_for_the_Safety_of_her_Husband,_Richard_Coeur_de_Lion.JPG","Charles Allston Collins, Public domain, via Wikimedia Commons",
32.9275,35.0817,12,Siege of Acre -  city of Acre in July 1191,"The Crusaders captured the port city of Acre in July 1191 after a nearly two-year siege, dealing a major blow to Saladin’s coastal defenses.",SiegeOfAcre1291.jpg,"Dominique Papety, Public domain, via Wikimedia Commons",Siege of Acre
32.2025,34.8125,12,"Battle of Arsuf - September 7, 1191","On September 7, 1191, Richard I defeated Saladin at Arsuf, showcasing superior military tactics and restoring Christian morale.",Schlacht_von_Arsuf.jpg,"By Éloi Firmin Féron - de:wiki, Public Domain, https://commons.wikimedia.org/w/index.php?curid=625841",Battle of Arsuf
32.054408,34.751644,12,"Treaty of Jaffa -  September 2, 1192","On September 2, 1192, Richard and Saladin agreed to the Treaty of Jaffa, securing Christian access to Jerusalem though it remained under Muslim control.",Battle_of_Jaffa_(1192).jpg,"By James Grant - This file is from the Mechanical Curator collection, a set of over 1 million images scanned from out-of-copyright books and released to Flickr Commons by the British Library.View image on FlickrView all images from bookView catalogue entry for book., Public Domain, https://commons.wikimedia.org/w/index.php?curid=43190149",Treaty of Jaffa
48.2082,16.3738,12,Capture of Richard I - Vienna 1192,Richard captured returning from crusade. (Roger of Howden),32Heinrich_VI._begnadigt_Richard_Loewenherz.jpg,"Peter of Eboli, Public domain, via Wikimedia Commons",
45.6574,0.9798,12,Richard I besieges Château de Châlus-Chabrol - 26 March 1199.,Richard the Lionhearted hit by the arrow of a young boy in battle which later turned gangrenous on 26 March 1199.,Château_de_Châlus_en_1460.jpg,"By Louis Boudan - Bibliothèque nationale de France, Public Domain, https://commons.wikimedia.org/w/index.php?curid=5624518",
45.6574,0.9798,12,Richard I gives the child who wounded him 100 shillings. - ,Richard the Lionhearted gives the boy who wielded the bow 100 shillings right before his death upon finding out he had slew his father and brother.,Chateau_Chalus_Chabrol.jpg,"By Fonquebure - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=5716785",
47.181389,0.051667,12,Richard the Lionhearted laid to rest. - Rouen,Richard the Lionhearted had his body intombed at Fortevraud in Anjou and his Heart at Rouen.,Richard1TombFntrvd.jpg," CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",Richard’s Tomb at Fontevraud
44.8378,-0.5792,12,Marriage of King John and Isabella of Angoulême - Bordeaux (Aquitaine) 1200,John annuls prior marriage and weds Isabella; provokes Lusignan revolt and accelerates loss of Poitou/Aquitaine influence. (Roger of Howden; Roger of Wendover),33SealOfIsabellaOfAngouleme.jpg,"his image is in the public domain because under the Copyright law of the United States, originality of expression is necessary for copyright protection, and a mere photograph of an out-of-copyright two-dimensional work may not be protected under American copyright law. The official position of the Wikimedia Foundation is that all reproductions of public domain works should be considered to be in the public domain regardless of their country of origin (even in countries where mere labor is enough to make a reproduction eligible for protection).",
46.5842,-0.15,12,"Battle of Mirebeau - Mirebeau (Poitou, France) 1202",John's victory over Arthur of Brittany and Lusignans; captures rebels but leads to backlash and continental losses. (Roger of Wendover),34_1202_French_campaign.png,"France_map_Lambert-93_topographic-blank.svg: Eric Gaba (Sting - fr:Sting)derivative work: Hchc2009, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",
49.1829,-0.3707,12,Loss of Normandy to France - Normandy 1204,"Philip II conquers Normandy, collapsing Angevin continental power. (William of Newburgh)",35Normandy_campaign_1204.png,"France_map_Lambert-93_topographic-blank.svg: Eric Gaba (Sting - fr:Sting)derivative work: Hchc2009, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",
47.2133,0.1144,12,Death of Eleanor of Aquitaine - Fontrevraud Abbey 1204,"Eleanor dies, symbolizing the end of the first Angevin generation. (William of Newburgh)",36Gisant_alienor_d_aquitaine_et_henri2.jpg,"ElanorGamgee, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons",
52,-1,12,Papal Interdict on England - England (nationwide) 1208,Pope Innocent III imposes interdict suspending church services due to John's refusal to accept Stephen Langton as Archbishop. (Matthew Paris; Roger of Wendover),37Stephenlangtonstatuecanterburycathedraloutside.jpg,"Ealdgyth, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",
52,-1,12,Excommunication of King John - England (nationwide) 1209,John personally excommunicated; allows seizure of church lands but alienates clergy and barons. (Roger of Wendover),38John_of_England_(John_Lackland).jpg,This work is in the public domain in its country of origin and other countries and areas where the copyright term is the author's life plus 70 years or fewer.,
50.6239,3.2125,12,"Battle of Bouvines - Bouvines (near Lille, France) 1214",Decisive French victory over John's coalition; seals loss of most Angevin continental lands. (Roger of Wendover; William the Breton),39Bataille_de_Bouvines_gagnee_par_Philippe_Auguste.jpg,"Horace Vernet, Public domain, via Wikimedia Commons",
51.4444,-0.5653,12,"Magna Carta sealed - Runnymede (near Windsor, England) 1215","Barons force John to seal the Great Charter at Runnymede, limiting royal power, promising justice/tax consent; fails to prevent civil war but foundational. (Contemporary chronicles; original charter text)",40Magna_Carta_(1225_version_with_seal).jpg,"Originally uploaded by Oldie., Public domain, via Wikimedia Commons",
51.388,0.505,12,Siege of Rochester Castle (by John) - Rochester (England) 1215,John besieges and retakes Rochester from rebel barons; brutal siege during First Barons' War. (Matthew Paris; Barnwell Chronicle),41Rochester_Castle_Keep_0022.JPG,"Clem Rutter, Rochester, Kent, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons",
52,-1,12,"First Barons' War begins / French invasion - England (e.g., London/Rochester) 1215","Barons rebel fully; Prince Louis of France invades (1216), captures key sites like Rochester; ongoing at John's death. (Matthew Paris)",42John_of_England_vs_Louis_VIII_of_France.jpg,"Chroniques de Saint-Denis, Public domain, via Wikimedia Commons",
51.129,1.308,12,Siege of Dover Castle (French-held) - Dover (England) 1216,"French/rebel siege fails; loyalists hold out, preventing full French conquest during First Barons' War. (Matthew Paris; Barnwell Chronicle)",43Henry_Hulsbergh_-_Dover_Castle_-_B1977.14.13006_-_Yale_Center_for_British_Art.jpg,"Henry Hulsbergh, CC0, via Wikimedia Commons",
53.0763,-0.8092,12,Death of King John - Newark-on-Trent 1216,John dies amid civil war and baronial revolt. (Matthew Paris),44King_John's_tomb.jpg,"Greenshed at English Wikipedia, Public domain, via Wikimedia Commons",
