lat,lon,zoom,title,content,image,alt_text,attribution
38.15,23.95,Euripedes,Heracleidae by Euripedes: Temple of Zeus at Marathon,,media/1200px-Jacques-Louis_David_-_The_Anger_of_Achilles_-_Google_Art_Project.jpg,The Anger of Achilles,"Jacques-Louis David, Public domain, via Wikimedia Commons"
38.320833,23.317778,Euripedes,Herakles by Euripedes: Herakles’ palace at Thebes,,media/HeraclesLocoObraTeatral.jpg,Hercules Gone Mad,"Rowanwindwhistler, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
37.502278,23.351417,Euripedes,Hippolytus by Euripedes: Theseus’ palace in Troezen,,"media/German_school_Hippolytus,_Phaedra_and_Theseus.jpg","Hippolytus, Phaedra, and Theseus","Unknown - German School 18th century, Public domain, via Wikimedia Commons"
38.482222,22.501111,Euripedes,Ion by Euripedes: Temple of Apollo at Delphi,,media/1084px-Delfi_Apollons_tempel.jpg,Temple of Apollo at Delphi,"Helen Simonsson, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
38.433295,23.592198,Euripedes,Iphigenia at Aulis by Euripedes: Port of Aulis,,media/640px-Antakya_Archaeological_Museum_Ephygenia_in_Aulis_mosaic_6062.jpg,Mosaic of Iphigenia at Aulis,"Dosseman, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
45.116667,34.7,Euripedes,Iphigenia at Tauris by Euripedes: Temple of Artemis at Tauris,,media/Jacques_Ignatius_de_Roore_-_Couple_before_the_Altar_of_a_Temple_Dedicated_to_Diana_(Orestes_and_Iphigenia_in_Taurus_).jpg,Iphigenia and Orestes at Taurus,"Jacques Ignatius de Roore, Public domain, via Wikimedia Commons"
37.905346,22.880192,Euripedes,Medea by Euripedes: House of Medea in Corinth,,"media/800px-Medea,_con_los_hijos_muertos,_huye_de_Corinto_en_un_carro_tirado_por_dragones_(Museo_del_Prado).jpg",Medea with Corpse of Her Child,"Germán Hernández Amores, Public domain, via Wikimedia Commons"
37.730278,22.7575,Euripedes,Orestes by Euripedes: Royal Palace of Argos,,media/Orestes_Pursued_by_the_Furies_by_William-Adolphe_Bouguereau_(1862)_-_Google_Art_Project.jpg,Orestes Pursued by the Furies,"Edouard Toudouze, Public domain, via Wikimedia Commons"
38.320833,23.317778,Euripedes,Phoenician Women by Euripedes: Royal Palace of Thebes,,media/Toudouze_oedipus.jpg,Farewell of Oedipus to the Corpses of His Wife and Sons,"William-Adolphe Bouguereau, Public domain, via Wikimedia Commons"
39.9575,26.238889,Euripedes,Rhesus by Euripedes: Troy,,media/Rhesos_MNA_Naples.jpg,Rhesus,"Lycurgus Painter, Public domain, via Wikimedia Commons"
38.0408,23.5386,Euripedes,Suppliant Women by Euripedes: Temple of Demeter and Persephone at Eleusis,,"media/General_view_of_sanctuary_of_Demeter_and_Kore_and_the_Telesterion_(Initiation_Hall),_center_for_the_Eleusinian_Mysteries,_Eleusis_(8191841684).jpg",Sanctuary of Demeter and Kore,"Carole Raddato from FRANKFURT, Germany, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons"
39.9575,26.238889,Euripedes,Trojan Women by Euripedes: Troy,,media/Astianax.jpg,Astianax,"Public domain, via Wikimedia Commons"
